#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Plasmavirus L2	46014		0	Other	Plasmaviridae	11.965	32	bacteria	 Unknown:NC_001447.1/L13696.1	14	14	1993/06/11	2020/12/20	Complete Genome
Pseudoalteromonas phage PM2	2905728		0	Other	Corticoviridae	10.079	42.2	bacteria	 Unknown:NC_000867.1/AF155037.1	22	22	1999/07/13	2021/12/22	Complete Genome
Circular ssDNA virus sp.	2805939	PRJNA418044	418044	unclassified viruses	unclassified	2.201	57.8	human,vertebrates	MG571900.1	-	2	2018/06/20	2018/06/20	Complete Genome
Mushroom bacilliform virus	32625		0	Other	Barnaviridae	4.009	46.3	fungi	 Unknown:NC_001633.1/U07551.1	4	4	1994/10/08	2018/08/13	Complete Genome
White spot syndrome virus	342409		0	Other	Nimaviridae	309.286	40.9	invertebrates	 Unknown:NC_003225.3/KT995472.1	177	177	2001/11/20	2018/08/14	Complete Genome
Heterosigma akashiwo RNA virus	324900		0	Other	Marnaviridae	8.587	46.9	-	 Unknown:NC_005281.1/AY337486.1	1	1	2003/07/23	2018/08/13	Complete Genome
Botrytis virus F	129395		0	Other	Gammaflexiviridae	6.827	53.4	fungi	 Unknown:NC_002604.1/AF238884.1	2	2	2000/10/14	2018/08/13	Complete Genome
Ostreid herpesvirus 1	261939		0	Other	Malacoherpesviridae	207.439	38.7	-	 Unknown:NC_005881.2/AY509253.2	127	127	2004/02/02	2018/08/13	Complete Genome
Hamiltonella phage APSE-1	2682836		0	Other	Other	36.524	43.9	bacteria	 Unknown:NC_000935.1/AF157835.1	54	54	1999/10/26	2021/12/22	Complete Genome
Halorubrum phage HF2	33771		0	Other	Hafunaviridae	77.672	55.8	-	 Unknown:NC_003345.2/AF222060.2	132	126	2001/12/31	2021/10/11	Complete Genome
Halophage HF1	2847106		0	Other	Hafunaviridae	75.898	55.8	-	 Unknown:NC_004927.2/AY190604.2	131	125	2003/06/30	2022/04/07	Complete Genome
Strawberry mottle virus	167161		0	Other	Secoviridae	12.655	45.5772	land plants	 RNA 1:NC_003445.1/AJ311875.1;  RNA 2:NC_003446.1/AJ311876.1	2	2	2002/01/08	2018/08/13	Complete Genome
Botrytis virus X	174142		0	Other	Alphaflexiviridae	6.966	54.6	fungi	 Unknown:NC_005132.1/AY055762.1	5	5	2003/10/01	2018/08/13	Complete Genome
Chalara elegans RNA Virus 1	267285		0	Other	Totiviridae	5.31	52.6	fungi	 Unknown:NC_005883.1/AY561500.1	2	2	2004/03/23	2018/08/13	Complete Genome
Strawberry latent ringspot virus	28351		0	Other	Secoviridae	11.338	45.5149	land plants	 RNA 1:NC_006964.1/AY860978.1;  RNA 2:NC_006965.1/AY860979.1	2	2	2005/01/29	2018/08/13	Complete Genome
Human picobirnavirus	145856		0	Other	Picobirnaviridae	4.27	46.0452	human	 1:NC_007026.1/AB186897.1;  2:NC_007027.1/AB186898.1	3	3	2005/05/07	2018/08/13	Complete Genome
Satsuma dwarf virus	47416		0	Other	Secoviridae	12.138	47.2522	land plants	 RNA 1:NC_003785.2/AB009958.2;  RNA 2:NC_003786.2/AB009959.2	2	2	1999/04/06	2018/08/13	Complete Genome
